id	name	description	whenType	when	placeId
1	体育館横の雑草片付け作業	二宮小学校学校運営協議会では学校の環境整備の一環として、毎年この時期に卒業式・入学式をお祝いする気持ちで体育館横の大きな雑草の刈り取り作業をおこなっています。今年も既に刈り取り作業は終了しているのですが、刈った大量な雑草の片付けがまだ終わっていない状況です。
そこで、刈った雑草を束ねて校舎裏に運ぶ作業を手伝ってくださる方を募集したいと思います。

④3/13（金）　体育館横の刈った雑草の片付け作業
刈った雑草を束ねて校舎裏に運ぶ作業をお願いします。
・日程→３月１３日（金）　
・時間→9：30～2時間程度（参加人数による）
・募集人数→3～4名程度　※募集〆切3/12(木)17時
・もちもの等→動きやすい・汚れてもよい服装、怪我防止の背抜きのゴム手袋または軍手、花粉や種などの飛散物から保護するためのメガネやマスク

参加される方々へは前日にこちらから確認メールをお送りします。	0		2
2	土日のいずれかでプランター花への水やり	土日のいずれかで、二宮小学校の中央玄関前プランター花への水やりをお願いします。
なお、土日のいずれかで雨予報の場合は水やり不要です。

水やりをお願いできる方の他、こんな方法はどうかな？といったアイデアも募集しています。
ご回答くださった方へは、追ってこちらからご連絡いたします。ローテーションで担当していただくかなど、一緒に考えていきたいと思っています。	1		2
